ligand,receptor,source
LOC101260714,LOC101262650,orthologs
LOC101256677,LOC101262650,orthologs
LOC101256677,LOC101262650,orthologs
LOC101256677,LOC101262650,orthologs
LOC101256677,LOC101262650,orthologs
LOC101256039,LOC101262650,orthologs
LOC101256039,LOC101262650,orthologs
LOC101252775,LOC101262650,orthologs
LOC101252775,LOC101262650,orthologs
LOC101252428,LOC101262650,orthologs
LOC101252428,LOC101262650,orthologs
LOC101250243,LOC101262650,orthologs
LOC101250243,LOC101262650,orthologs
LOC101250057,LOC101262650,orthologs
LOC101250057,LOC101262650,orthologs
LOC101248858,LOC101262650,orthologs
LOC101248858,LOC101262650,orthologs
LOC101248858,LOC101262650,orthologs
LOC101248858,LOC101262650,orthologs
LOC101248858,LOC101262650,orthologs
LOC101248858,LOC101262650,orthologs
LOC101248858,LOC101262650,orthologs
LOC101248858,LOC101262650,orthologs
LOC101248854,LOC101262650,orthologs
LOC101248854,LOC101262650,orthologs
LOC101247318,LOC101262650,orthologs
LOC101247318,LOC101262650,orthologs
LOC101245699,LOC101262650,orthologs
LOC101245699,LOC101262650,orthologs
Hsp90-1,LOC101262650,orthologs
Hsp90-1,LOC101262650,orthologs
HSC80,LOC101262650,orthologs
HSC80,LOC101262650,orthologs
GPA1,LOC101262650,orthologs
GPA1,LOC101262650,orthologs
GPA1,LOC101262650,orthologs
GPA1,LOC101262650,orthologs
LOC101251019,LOC101262392,orthologs
LOC104649356,LOC101262338,orthologs
LOC104649356,LOC101262338,orthologs
LOC101268139,LOC101262338,orthologs
LOC101268139,LOC101262338,orthologs
LOC101266043,LOC101262338,orthologs
LOC101266043,LOC101262338,orthologs
LOC101264571,LOC101262338,orthologs
LOC101264571,LOC101262338,orthologs
LOC101258356,LOC101262338,orthologs
LOC101258356,LOC101262338,orthologs
LOC101258057,LOC101262338,orthologs
LOC101258057,LOC101262338,orthologs
LOC101246033,LOC101262338,orthologs
LOC101246033,LOC101262338,orthologs
Sl3-MMP,LOC101262286,orthologs
Sl3-MMP,LOC101262286,orthologs
LOC543895,LOC101262081,orthologs
LOC543895,LOC101262081,orthologs
LOC101246396,LOC101262081,orthologs
LOC101246396,LOC101262081,orthologs
LOC101246396,LOC101262081,orthologs
LOC101246396,LOC101262081,orthologs
alpha-DOX2,LOC101262081,orthologs
alpha-DOX2,LOC101262081,orthologs
Sl3-MMP,LOC101262073,orthologs
Sl3-MMP,LOC101262073,orthologs
LOC101265614,LOC101262034,orthologs
Sl3-MMP,LOC101262003,orthologs
Sl3-MMP,LOC101262003,orthologs
mpka1;1,LOC101262003,orthologs
mpka1;1,LOC101262003,orthologs
MPK9,LOC101262003,orthologs
MPK3,LOC101262003,orthologs
MAPK5,LOC101262003,orthologs
MAPK4,LOC101262003,orthologs
LOC104649482,LOC101262003,orthologs
LOC104649482,LOC101262003,orthologs
LOC104649482,LOC101262003,orthologs
LOC101266127,LOC101262003,orthologs
LOC101264890,LOC101262003,orthologs
LOC101264183,LOC101262003,orthologs
LOC101262050,LOC101262003,orthologs
LOC101259591,LOC101262003,orthologs
LOC101258128,LOC101262003,orthologs
LOC101256039,LOC101262003,orthologs
LOC101248858,LOC101262003,orthologs
LOC101248858,LOC101262003,orthologs
LOC101248858,LOC101262003,orthologs
LOC101248858,LOC101262003,orthologs
LOC101243937,LOC101262003,orthologs
Hsp90-1,LOC101262003,orthologs
HSC80,LOC101262003,orthologs
#N/A,LOC101261916,orthologs
LOC101243964,LOC101261916,orthologs
exp9,LOC101261916,orthologs
exp18,LOC101261916,orthologs
EXP1,LOC101261916,orthologs
Sl3-MMP,LOC101261889,orthologs
Sl3-MMP,LOC101261889,orthologs
