Ligands,Receptors,source_combined
AT3G24770,AT1G65380,"STRING,literature"
AT3G24770,AT1G75820,STRING
AT3G24770,AT2G23950,literature
AT3G24770,AT3G49670,literature
AT3G24770,AT4G28650,STRING
AT3G24770,AT5G13290,literature
AT3G24770,AT5G65700,literature
AT3G25170,AT3G04690,STRING
AT3G25170,AT5G16500,STRING
AT3G25655,AT4G28490,"STRING,literature"
AT3G27950,AT1G18880,STRING
AT3G27950,AT3G47960,STRING
AT3G27950,AT5G62680,STRING
AT3G27980,AT1G08430,STRING
AT3G27980,AT1G21240,STRING
AT3G28200,AT5G04930,STRING
AT3G28455,AT1G65380,"STRING,literature"
AT3G28455,AT2G23950,literature
AT3G28455,AT3G49670,literature
AT3G28455,AT5G13290,literature
AT3G28455,AT5G65700,literature
AT3G29780,AT1G23140,STRING
AT3G30350,AT3G24240,literature
AT3G30350,AT4G26540,literature
AT3G30350,AT5G48940,literature
AT3G32980,AT3G26090,BIOGRID
AT3G43270,AT3G54920,STRING
AT3G43270,AT3G57770,STRING
AT3G43270,AT4G16640,STRING
AT3G44735,AT2G02220,STRING
AT3G44735,AT3G25717,STRING
AT3G44735,AT4G13395,STRING
AT3G44735,AT5G53890,STRING
AT3G45940,AT1G11820,STRING
AT3G45940,AT1G32090,STRING
AT3G45940,AT1G54280,STRING
AT3G45940,AT1G64060,STRING
AT3G45940,AT1G66250,STRING
AT3G45940,AT2G01630,STRING
AT3G45940,AT3G13560,STRING
AT3G45940,AT3G13900,STRING
AT3G45940,AT3G25610,STRING
AT3G45940,AT4G04340,STRING
AT3G45940,AT4G31140,STRING
AT3G45940,AT5G58090,STRING
AT3G45960,AT2G22470,STRING
AT3G45960,AT3G61640,STRING
AT3G45960,AT5G64310,STRING
AT3G46120,AT5G43350,STRING
AT3G47380,AT1G18280,STRING
AT3G47400,AT3G54920,STRING
AT3G48460,AT5G64080,STRING
AT3G48610,AT3G15730,STRING
AT3G48610,AT3G47220,STRING
AT3G48610,AT4G35790,STRING
AT3G48610,AT5G09350,STRING
AT3G48610,AT5G58670,STRING
AT3G48610,AT5G64070,STRING
AT3G49120,AT3G26090,BIOGRID
AT3G49780,AT3G25717,STRING
AT3G49780,AT3G61640,STRING
AT3G49780,AT4G13395,STRING
AT3G49780,AT5G40730,STRING
AT3G49960,AT2G20520,STRING
AT3G49960,AT4G34580,STRING
AT3G50220,AT1G21240,IntAct
AT3G50220,AT5G06320,IntAct
AT3G50220,AT5G15630,STRING
AT3G50610,AT1G72180,literature
AT3G50610,AT5G49660,literature
AT3G52370,AT2G04780,STRING
AT3G52370,AT2G24450,STRING
AT3G52370,AT3G60900,STRING
AT3G52370,AT4G12730,STRING
AT3G52370,AT4G31370,STRING
AT3G52370,AT5G03170,STRING
AT3G52820,AT5G58050,STRING
AT3G53230,AT1G24140,STRING
AT3G53230,AT1G55350,STRING
AT3G53230,AT1G59970,STRING
AT3G53230,AT1G70170,STRING
AT3G53230,AT2G45040,STRING
AT3G53230,AT3G09840,STRING
AT3G53230,AT3G28860,STRING
AT3G53230,AT4G16640,STRING
AT3G53230,AT5G10450,plant.MAP
AT3G56310,AT1G59970,STRING
AT3G56310,AT3G09840,STRING
AT3G57260,AT1G21250,STRING
AT3G57260,AT2G32680,STRING
AT3G57260,AT5G08000,STRING
AT3G57510,AT3G54920,STRING
AT3G59010,AT3G61260,STRING
AT3G60650,AT3G24240,literature
AT3G60650,AT4G26540,literature
AT3G60650,AT5G48940,literature
AT3G60730,AT2G40540,STRING
AT3G62680,AT2G20520,STRING
AT3G62680,AT4G34580,STRING
AT3G62680,AT5G49270,STRING
AT3G66658,AT3G01390,STRING
AT4G00190,AT2G27810,STRING
AT4G02270,AT2G20520,STRING
AT4G02270,AT4G19680,STRING
AT4G02270,AT5G49270,STRING
AT4G02320,AT3G54920,STRING
AT4G02330,AT3G54920,STRING
AT4G02350,AT2G45960,BIOGRID
AT4G02350,AT3G09900,STRING
AT4G02350,AT3G11820,STRING
AT4G02350,AT3G46060,STRING
AT4G02350,AT3G53610,STRING
AT4G02350,AT5G03520,STRING
AT4G03210,AT5G13000,STRING
AT4G03210,AT5G36870,STRING
AT4G03930,AT3G54920,STRING
AT4G03930,AT5G46630,STRING
AT4G04460,AT1G24140,STRING
AT4G04460,AT1G55350,STRING
AT4G04460,AT1G59970,STRING
AT4G04460,AT1G70170,STRING
AT4G04460,AT2G45040,STRING
AT4G04460,AT3G09840,STRING
AT4G04460,AT4G16640,STRING
AT4G04460,AT5G10080,STRING
AT4G08485,AT5G10530,STRING
AT4G08770,AT3G26090,BIOGRID
AT4G08950,AT3G26090,BIOGRID
AT4G08950,AT5G66210,STRING
AT4G09647,AT4G05110,STRING
AT4G09647,AT4G05120,STRING
AT4G09647,AT4G05130,STRING
AT4G09647,AT4G05140,STRING
AT4G10510,AT2G20520,STRING
AT4G12420,AT2G04780,STRING
AT4G12420,AT2G45960,BIOGRID
AT4G12420,AT3G24300,BIOGRID
AT4G12420,AT3G53420,BIOGRID
AT4G12420,AT5G07280,STRING
AT4G12420,AT5G15350,STRING
AT4G12420,AT5G55480,STRING
AT4G12420,AT5G60920,STRING
AT4G12960,AT4G12780,STRING
AT4G12960,AT4G38430,STRING
AT4G12970,AT1G62400,STRING
AT4G12970,AT1G80080,STRING
AT4G12970,AT2G26330,literature
AT4G12970,AT5G07180,STRING
AT4G12970,AT5G60880,STRING
AT4G12970,AT5G62230,STRING
AT4G13090,AT1G11820,STRING
AT4G13090,AT1G15520,interactome2.0
AT4G13195,AT1G65380,literature
AT4G13195,AT1G75820,STRING
AT4G13195,AT2G23950,literature
AT4G13195,AT5G13290,literature
AT4G13340,AT4G12730,STRING
AT4G13700,AT1G23140,STRING
AT4G14010,AT1G55330,STRING
AT4G14010,AT2G46330,STRING
AT4G14010,AT3G13520,STRING
AT4G14010,AT3G25717,STRING
AT4G14010,AT3G61640,STRING
AT4G14010,AT4G13395,STRING
AT4G14010,AT5G40730,STRING
AT4G14723,AT1G80080,STRING
AT4G14723,AT2G26330,literature
AT4G14723,AT5G07180,STRING
AT4G14723,AT5G62230,STRING
AT4G14940,AT1G24140,STRING
AT4G14940,AT1G59970,STRING
AT4G14940,AT1G70170,STRING
AT4G14940,AT2G45040,STRING
AT4G14940,AT4G16640,STRING
AT4G15800,AT1G55330,STRING
